id,name,repeat,rampup_phase,main_phase,hosts,rf,read_ratio,write_ratio,keys,ops,main_rate_limit,key_dist,key_size,value_size_dist,docker_image,config_file,driver_config_file,workload_config_file,clients,client_threads,client_stride,rampup_rate_limit
xp1_1,xp1_rampup,1,yes,yes,12,3,100,0,1000000000,50000000,NA,"Uniform(1,1000000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,fixed=150000
xp1_2,xp1_uniform_ds_sat,1,no,yes,12,3,100,0,NA,100000000,NA,"Uniform(1,1000000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_3,xp1_uniform_ds_nom,1,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp1_2,0.8","Uniform(1,1000000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_4,xp1_uniform_primary_nom,1,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp1_2,0.8","Uniform(1,1000000000)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-primary-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_5,xp1_szipf_ds_sat,1,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,0.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_6,xp1_szipf_ds_nom,1,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp1_5,0.8","ApproximatedZipf(1000000000,0.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_7,xp1_szipf_primary_nom,1,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp1_5,0.8","ApproximatedZipf(1000000000,0.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-primary-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_8,xp1_lzipf_ds_sat,1,no,yes,12,3,100,0,NA,100000000,NA,"ApproximatedZipf(1000000000,1.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_9,xp1_lzipf_ds_nom,1,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp1_8,0.8","ApproximatedZipf(1000000000,1.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-ds-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
xp1_10,xp1_lzipf_primary_nom,1,no,yes,12,3,100,0,NA,100000000,"infer=MeanRate,xp1_8,0.8","ApproximatedZipf(1000000000,1.5)",16,FixedValue(1024),adugois1/apache-cassandra-se:latest,cassandra-primary-fifo.yaml,without-token-map.conf,cql.yaml,1,360,1000,NA
